#    distance           U_x           U_y           U_z
      160.804      0.438454  -5.56075e-05             0
      161.809      0.449717    0.00013274             0
      162.814      0.460401   0.000268043             0
      163.819      0.471423   0.000817006             0
      164.824      0.482625    0.00115067             0
      165.829      0.494185     0.0014472             0
      166.834      0.505861    0.00159668             0
      167.839      0.517497    0.00204433             0
      168.844      0.529762    0.00223714             0
      169.849      0.541639    0.00231286             0
      170.854      0.553745    0.00248937             0
      171.859      0.565805    0.00238334             0
      172.864      0.577923    0.00259374             0
      173.869      0.589885     0.0026125             0
      174.874      0.601827     0.0019122             0
      175.879      0.613583    0.00190897             0
      176.884      0.625126    0.00161118             0
      177.889      0.636099     0.0012651             0
      178.894      0.646902   0.000996586             0
      179.899      0.657242   0.000566558             0
      180.905      0.667182   0.000141878             0
       181.91      0.676871  -0.000112996             0
      182.915      0.685868  -0.000642858             0
       183.92      0.694725   -0.00102153             0
      184.925      0.702519   -0.00130654             0
       185.93      0.710354   -0.00153936             0
      186.935      0.717576   -0.00164661             0
       187.94      0.724222   -0.00189316             0
      188.945      0.730334   -0.00212689             0
       189.95      0.736186   -0.00186914             0
      190.955      0.741366     -0.002123             0
       191.96      0.746169   -0.00200573             0
      192.965      0.750846   -0.00211484             0
       193.97      0.754785   -0.00201594             0
      194.975      0.758962   -0.00200112             0
       195.98      0.761885   -0.00207081             0
      196.985       0.76486   -0.00193218             0
       197.99      0.767906   -0.00186753             0
      198.995      0.771098   -0.00198125             0
